date,open,high,low,close,volume
2020-11-11,39.71,43.23,38.64,45.77,179581150.0
2020-11-10,44.5,45.2,38.11,47.01,237403589.0
2020-11-09,41.65,45.29,40.38,47.58,218733282.0
2020-11-06,41.09,43.3,40.05,48.95,288784336.0
2020-11-05,38.78,42.49,38.25,46.72,302472617.0
2020-11-04,37.44,39.75,35.82,46.0,339385872.0
2020-11-03,33.57,35.87,32.78,44.67,217608105.0
2020-11-02,33.95,34.94,31.68,43.5,265719877.0
2020-10-30,31.39,31.59,30.03,40.98,136902610.0
2020-10-29,28.52,32.2,28.32,41.98,214034656.0
2020-10-28,27.92,28.1,26.51,45.22,89374938.0
2020-10-27,26.21,28.46,26.03,44.01,104257726.0
2020-10-26,26.61,27.35,25.46,46.56,72610347.0
2020-10-23,27.37,27.42,26.48,45.11,51784048.0
2020-10-22,28.15,28.28,26.81,43.04,72173307.0
2020-10-21,27.9,28.43,27.385,45.35,65357930.0
2020-10-20,27.42,28.3,27.05,47.98,105233416.0
2020-10-19,28.21,28.56,27.22,45.36,115708710.0
2020-10-16,29.18,29.4,27.94,50.53,186764680.0
2020-10-15,27.2,29.23,25.78,54.0,385210596.0
2020-10-14,23.98,26.96,23.73,53.69,387903255.0
2020-10-13,21.86,21.97,21.17,53.51,42581464.0
2020-10-12,21.88,22.18,21.55,55.38,45476830.0
2020-10-09,21.62,21.74,21.32,49.25,37328968.0
2020-10-08,22.05,22.45,21.29,48.45,77719581.0
2020-10-07,21.06,21.77,20.79,45.06,59354282.0
2020-10-06,21.71,21.94,20.6,46.59,73217119.0
2020-10-05,21.66,21.92,21.07,45.58,60860112.0
2020-10-02,20.83,22.2,20.8,44.56,92713560.0
2020-10-01,21.68,21.96,20.83,48.3,79117101.0
2020-09-30,21.72,22.59,20.76,43.08,183530455.0
2020-09-29,18.76,21.12,18.71,41.55,164378538.0
2020-09-28,18.88,19.16,18.43,44.02,42786232.0
2020-09-25,18.02,18.62,17.95,41.63,44122149.0
2020-09-24,17.32,18.39,16.75,42.35,71069510.0
2020-09-23,19.22,19.36,17.8,37.71,70568089.0
2020-09-22,18.48,19.45,18.37,35.5,61061116.0
2020-09-21,19.05,19.265,17.66,33.32,75969546.0
2020-09-18,19.72,19.88,18.94,30.58,54885511.0
2020-09-17,18.26,19.33,18.08,31.99,55186587.0
2020-09-16,19.27,19.54,18.52,27.51,57845793.0
2020-09-15,19.1,20.25,18.88,28.44,111630535.0
2020-09-14,18.18,18.78,17.9,26.01,68234902.0
2020-09-11,18.0,18.1,17.45,27.16,55373486.0
2020-09-10,18.49,18.72,17.49,27.38,79679834.0
2020-09-09,17.9,18.63,17.7,27.86,90988423.0
2020-09-08,17.17,17.86,16.51,27.96,89624571.0
2020-09-04,18.54,19.18,15.61,27.63,163329780.0
2020-09-03,19.09,19.84,18.3526,28.48,128358422.0
2020-09-02,20.92,21.05,18.5,28.07,153460601.0
2020-09-01,19.45,20.38,18.75,26.5,137644836.0
2020-08-31,17.19,19.83,16.82,21.62,226610901.0
2020-08-28,18.87,19.44,18.11,21.85,155242283.0
2020-08-27,19.99,20.47,18.76,21.47,199850277.0
2020-08-26,19.01,20.97,18.56,21.44,364104643.0
